crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
5.0,0,2,0,,4.48298381195657e-06
5.0,0,2,1,6.9232223835055e-06,3.830850069053581e-06
5.0,0,3,0,,6.5978667719947706e-06
5.0,0,3,1,9.270021699490049e-06,5.381233230573389e-06
5.0,0,4,0,,9.90191101255507e-06
5.0,0,4,1,1.3014506763030442e-05,7.293633847260487e-06
5.0,0,5,0,,1.49306075492175e-05
5.0,0,5,1,2.459047952621945e-05,1.2913045963251597e-05
5.0,1,0,0,1.3506498812533356e-05,5.242019269964806e-06
5.0,1,0,1,6.0866474225377945e-06,2.8372618949396543e-06
5.0,1,1,0,1.7383182991663146e-05,6.393030153264341e-06
5.0,1,1,1,4.7535066851279645e-06,2.4530459573746425e-06
5.0,1,2,0,2.2803275601782357e-05,8.213400312646239e-06
5.0,1,2,1,7.695358138948478e-06,4.167169825673214e-06
5.0,1,3,0,3.408318119092842e-05,1.1709857355560367e-05
5.0,1,3,1,1.204241879883312e-05,6.639126570345476e-06
5.0,1,4,0,5.020664069307928e-05,1.6365576229941465e-05
5.0,1,4,1,1.5858826607369328e-05,8.740633776188642e-06
5.0,1,5,0,7.204060839626525e-05,2.2237014083379734e-05
5.0,1,5,1,2.9895790593043564e-05,1.5705802615712254e-05
5.0,2,0,0,2.283930520206059e-05,7.618763803543853e-06
5.0,2,0,1,3.17199791753871e-06,1.8077215791982825e-06
5.0,2,1,0,3.029994857622718e-05,9.138872272322771e-06
5.0,2,1,1,3.4893719942738524e-06,1.995727647413511e-06
5.0,2,2,0,3.987103638607621e-05,1.1404412941989254e-05
5.0,2,2,1,4.882433568043566e-06,2.888942230568249e-06
5.0,2,3,0,5.566386366942199e-05,1.538330485257899e-05
5.0,2,3,1,6.4784968330481646e-06,4.08289428018e-06
5.0,2,4,0,8.24900900100155e-05,2.16644381702144e-05
5.0,2,4,1,7.538469453648922e-06,4.865407258628165e-06
5.0,2,5,0,0.0001285940303034,2.9350623030887866e-05
5.0,2,5,1,1.4932332466191923e-05,9.097373327187462e-06
6.0,0,0,1,4.367194427930401e-07,2.0366702647181885e-07
6.0,0,1,0,,1.28878203689597e-12
6.0,0,1,1,4.148841029679665e-07,1.9364604866589122e-07
6.0,0,2,0,,3.24584950761061e-08
6.0,0,2,1,1.2208754334625532e-06,6.132557055335876e-07
6.0,0,3,0,,3.50738174491356e-07
6.0,0,3,1,1.797977775443807e-06,1.0601499956203703e-06
6.0,0,4,0,,1.00060354546834e-06
6.0,0,4,1,3.312525564499324e-06,2.0710175741746503e-06
6.0,0,5,0,,1.9696487106529303e-06
6.0,0,5,1,6.511954091682538e-06,4.111971708504779e-06
6.0,1,0,1,1.637759712657308e-06,7.613774988195988e-07
6.0,1,1,0,,1.6440258258989699e-12
