OPCAT_ID,crop_category,livestock_category,excreta_per_ha
3096,0,5,0.0
3096,4,1,7.370551967173527
3096,4,2,1.4635572389784866
3096,4,3,0.15586251270480472
3096,4,4,2.3411299292917898
3096,4,5,0.7116874690771542
3097,-1,1,0.0
3097,-1,2,0.0
3097,-1,3,0.5217958090640343
3097,-1,4,0.0
3097,-1,5,0.32235205352290175
3097,0,1,0.0
3097,0,2,0.0
3097,0,3,0.0
3097,0,4,0.7831144245262246
3097,0,5,0.0
3097,4,1,9.36244728379355
3097,4,2,4.076516778066791
3097,4,3,0.5217958090640343
3097,4,4,3.9155721226311133
3097,4,5,0.32235205352290175
3098,-1,1,0.0
3098,-1,2,0.0
3098,-1,3,0.2357476358001761
3098,-1,4,0.0
3098,-1,5,0.33050988790035446
3098,0,1,0.0
3098,0,2,0.0
3098,0,3,0.0
3098,0,4,0.474745680658474
3098,0,5,0.0
3098,4,1,8.544764895345315
3098,4,2,2.3315186616477868
3098,4,3,0.2357476358001761
3098,4,4,2.3737284032923838
3098,4,5,0.33050988790035446
3099,-1,1,0.0
3099,-1,2,0.0
3099,-1,3,0.23239207726652966
3099,-1,4,0.0
3099,-1,5,0.01908302193468443
3099,0,1,0.0
3099,0,2,0.0
3099,0,3,0.0
3099,0,4,1.3016033500973285
3099,0,5,0.0
3099,4,1,6.16681923294792
3099,4,2,3.1007104305055324
3099,4,3,0.23239207726652966
3099,4,4,6.508016750486631
3099,4,5,0.01908302193468443
3100,-1,1,0.0
3100,-1,2,0.0
3100,-1,3,0.0445756556949234
3100,-1,4,0.0
3100,-1,5,1.573563748589686
3100,0,1,0.0
3100,0,2,0.0
3100,0,3,0.0
3100,0,4,0.9330262415302764
3100,0,5,0.0
3100,4,1,6.523822825907304
3100,4,2,0.16086082206079252
3100,4,3,0.0445756556949234
3100,4,4,4.665131207652709
3100,4,5,1.573563748589686
3105,-1,1,0.0
3105,-1,2,0.0
3105,-1,3,0.3816153705957418
3105,-1,4,0.0
3105,-1,5,0.004971126095972192
3105,0,1,0.0
3105,0,2,0.0
3105,0,3,0.0
3105,0,4,1.5708833220068776
3105,0,5,0.0
3105,4,1,9.389133926251414
3105,4,2,0.44836271805061906
3105,4,3,0.3816153705957418
3105,4,4,7.854416610034398
3105,4,5,0.004971126095972192
3107,-1,1,0.0
3107,-1,2,0.0
3107,-1,3,0.00527932205497673
3107,-1,4,0.0
3107,-1,5,0.0038448456457261006
3107,0,1,0.0
3107,0,2,0.0
3107,0,3,0.0
3107,0,4,1.8891813895342204
3107,0,5,0.0
3107,4,1,7.738613545419791
3107,4,2,0.009669077334124107
3107,4,3,0.00527932205497673
3107,4,4,9.4459069476711
3107,4,5,0.0038448456457261006
3110,-1,1,0.0
3110,-1,2,0.0
3110,-1,3,0.8643239294363324
3110,-1,4,0.0
